,message length,density,rep,tau fact.,order
186,2.535027903469368,5,11,1.0,3
187,2.139307552961877,5,11,1.0,4
188,4.599939959958281,5,11,10.0,1
189,4.605317242000935,5,11,10.0,2
190,4.605239385927582,5,11,10.0,3
191,4.604377660581686,5,11,10.0,4
192,0.0021520180491976515,5,12,0.01,1
193,0.0013409705439179492,5,12,0.01,2
194,0.0012211481108073477,5,12,0.01,3
195,0.0010310360633356552,5,12,0.01,4
196,0.1655849288410573,5,12,0.1,1
197,0.09801793055731875,5,12,0.1,2
198,0.08550686608474606,5,12,0.1,3
199,0.06802077036590237,5,12,0.1,4
200,3.0077861315292322,5,12,1.0,1
201,2.4324339329240035,5,12,1.0,2
202,1.8949398883867055,5,12,1.0,3
203,1.3239637520828609,5,12,1.0,4
204,4.6032165102793225,5,12,10.0,1
205,4.605581037330738,5,12,10.0,2
206,4.605113931053926,5,12,10.0,3
207,4.60447471980368,5,12,10.0,4
208,0.002413816414439378,5,13,0.01,1
209,0.001665271039026868,5,13,0.01,2
210,0.0014110699522327866,5,13,0.01,3
211,0.0012259208256670817,5,13,0.01,4
212,0.18149875854294834,5,13,0.1,1
213,0.12100288499703568,5,13,0.1,2
214,0.09756187685248315,5,13,0.1,3
